Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Quick API 5,5,15,13,21,27,27,9,27,0.000%,.20821,0.03,0.03
Compute API 5,5,549,547,547,579,579,536,579,0.000%,.20389,0.03,0.03
Read API 5,5,17,11,25,36,36,7,36,0.000%,.20872,0.03,0.03
Write API 5,5,563,557,559,603,603,541,603,0.000%,.20430,0.03,0.03
Quick API 25,25,13,8,9,10,143,6,143,0.000%,.86763,0.13,0.11
Compute API 25,25,573,565,575,601,778,540,778,0.000%,.85109,0.13,0.12
Read API 25,25,7,7,8,8,9,7,9,0.000%,.86709,0.11,0.11
Write API 25,25,723,724,797,831,840,573,840,0.000%,.84303,0.12,0.11
Quick API 50,50,174,10,859,989,1153,7,1153,0.000%,1.69947,0.26,0.22
Compute API 50,50,960,617,1681,1787,3963,556,3963,0.000%,1.61447,0.24,0.22
Read API 50,50,249,9,937,1446,2009,7,2009,0.000%,1.64360,0.22,0.21
Write API 50,50,1398,1163,2164,2757,3866,11,3866,12.000%,1.64328,0.32,0.21
Quick API 100,100,106,13,422,644,886,6,1192,0.000%,3.36587,0.52,0.43
Compute API 100,100,2147,1064,5051,5568,6419,620,7006,0.000%,2.85853,0.59,0.39
Read API 100,100,69,16,230,470,747,8,950,0.000%,2.90926,0.38,0.36
Write API 100,100,3602,4065,5706,6141,6352,13,6579,100.000%,2.93169,1.64,0.37
TOTAL,720,1070,557,4065,4969,6145,6,7006,14.722%,5.93139,1.27,0.76
