Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Quick API 5,5,15,12,20,22,22,9,22,0.000%,.20852,0.03,0.03
Compute API 5,5,566,560,571,596,596,552,596,0.000%,.20395,0.03,0.03
Read API 5,5,15,9,22,31,31,8,31,0.000%,.20896,0.03,0.03
Write API 5,5,576,572,576,627,627,550,627,0.000%,.20432,0.03,0.03
Quick API 25,25,48,8,149,276,281,7,281,0.000%,.86781,0.13,0.11
Compute API 25,25,586,568,596,603,978,544,978,0.000%,.83960,0.13,0.11
Read API 25,25,8,8,10,12,12,7,12,0.000%,.85549,0.11,0.11
Write API 25,25,698,704,747,781,800,609,800,0.000%,.83445,0.12,0.11
Quick API 50,50,354,42,1000,1097,4453,7,4453,0.000%,1.47689,0.23,0.19
Compute API 50,50,1157,1058,1837,2220,3468,562,3468,0.000%,1.44747,0.22,0.20
Read API 50,50,374,33,957,1307,2999,7,2999,0.000%,1.47119,0.19,0.18
Write API 50,50,2555,2196,4314,5120,7791,790,7791,0.000%,1.42102,0.20,0.18
Quick API 100,100,5407,3665,13959,20613,22483,8,22778,0.000%,1.99856,0.31,0.25
Compute API 100,100,6084,4438,13586,17030,20900,573,21428,0.000%,1.65618,0.25,0.23
Read API 100,100,5184,3666,14284,17055,18810,9,19738,0.000%,1.51327,0.20,0.19
Write API 100,100,8717,7278,16979,19141,22196,1890,23271,0.000%,1.47132,0.21,0.19
TOTAL,720,3890,1803,10640,15812,20938,7,23271,0.000%,4.49972,0.65,0.58
