Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Quick API 10,10,22,12,27,27,88,8,88,0.000%,.37004,0.06,0.05
Compute API 10,10,603,596,631,631,659,570,659,0.000%,.36275,0.05,0.05
Read API 10,10,13,9,19,19,48,7,48,0.000%,.37081,0.05,0.05
Write API 10,10,650,652,677,677,678,608,678,0.000%,.36252,0.05,0.05
Quick API 50,50,4754,3674,11030,12036,12813,6,12813,0.000%,1.45045,0.23,0.18
Compute API 50,50,5923,4339,12580,13406,16860,598,16860,0.000%,.97418,0.15,0.13
Read API 50,50,7304,6047,16825,17415,19467,8,19467,0.000%,.89240,0.12,0.11
Write API 50,50,8402,6941,16256,18567,20041,1232,20041,0.000%,.69816,0.10,0.09
Quick API 100,100,12218,9169,23752,33809,34682,12,34695,0.000%,1.59709,0.25,0.20
Compute API 100,100,17145,18525,28981,31334,34237,593,34800,0.000%,1.17055,0.18,0.16
Read API 100,100,22577,24476,34853,37586,40376,604,40745,0.000%,.83830,0.11,0.10
Write API 100,100,26223,26686,36379,37695,40944,1518,41314,0.000%,.67916,0.10,0.09
Quick API 200,200,23162,12054,55338,55843,57016,15,57314,0.000%,2.44819,0.38,0.31
Compute API 200,200,35484,38797,57427,60691,63790,583,65523,0.000%,1.37487,0.21,0.19
Read API 200,200,56786,55214,95995,98955,103719,589,104348,0.000%,.91924,0.12,0.11
Write API 200,200,71810,72260,100379,104084,109386,2726,111626,0.000%,.60863,0.09,0.08
TOTAL,1440,32359,23754,75245,93177,103719,6,111626,0.000%,2.48762,0.36,0.32
