Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Quick API 5,5,14,13,14,23,23,12,23,0.000%,.20819,0.03,0.03
Compute API 5,5,655,653,672,684,684,623,684,0.000%,.20261,0.03,0.03
Read API 5,5,14,12,19,22,22,9,22,0.000%,.20805,0.03,0.03
Write API 5,5,689,681,684,800,800,630,800,0.000%,.20152,0.03,0.03
Quick API 25,25,1970,1415,3834,5003,5685,15,5685,0.000%,.80898,0.13,0.10
Compute API 25,25,2701,2245,4905,5786,7113,660,7113,0.000%,.65786,0.10,0.09
Read API 25,25,2431,1833,4695,5388,7299,11,7299,0.000%,.65996,0.09,0.08
Write API 25,25,3415,3017,6027,6665,7936,733,7936,0.000%,.59824,0.09,0.08
Quick API 50,50,7908,4743,21379,21977,22942,12,22942,0.000%,1.04646,0.16,0.13
Compute API 50,50,7881,6146,16238,19027,22973,676,22973,0.000%,.84032,0.13,0.11
Read API 50,50,11057,9631,21749,22176,25583,17,25583,0.000%,.68214,0.09,0.09
Write API 50,50,11727,9791,22497,23553,26500,966,26500,0.000%,.60057,0.09,0.08
Quick API 100,100,15778,18733,30314,31219,31813,29,32037,0.000%,2.13006,0.33,0.27
Compute API 100,100,21363,18129,44384,50337,54893,726,56739,0.000%,.96473,0.15,0.13
Read API 100,100,30443,27292,60898,63916,68581,14,69245,0.000%,.84997,0.11,0.11
Write API 100,100,33061,30783,61877,65521,68917,2242,69954,0.000%,.56096,0.08,0.07
TOTAL,720,17032,10724,43796,56052,66346,9,69954,0.000%,2.16514,0.31,0.28
