Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Quick API 200,200,11820,13097,16417,16892,17286,18,17383,0.000%,10.16260,1.58,1.29
Compute API 200,200,48593,46127,96750,103181,108441,727,109630,0.000%,1.54741,0.23,0.21
Read API 200,200,55671,54291,104852,110871,115312,701,115904,0.000%,1.44874,0.19,0.18
Write API 200,200,86699,89682,156803,167278,175657,3543,177779,0.000%,.63466,0.09,0.08
Quick API 100,100,14336,15173,26360,26731,27128,12,27233,0.000%,2.96121,0.46,0.38
Compute API 100,100,17746,17453,30931,34361,37383,611,38140,0.000%,1.39086,0.21,0.19
Read API 100,100,28364,26629,46682,49810,51177,1727,51748,0.000%,1.07440,0.14,0.13
Write API 100,100,33959,36790,50803,52975,57068,2924,58090,0.000%,.66958,0.10,0.08
Quick API 50,50,7735,8901,11885,12085,12635,12,12635,0.000%,2.82326,0.44,0.36
Compute API 50,50,15275,13976,27714,29515,31430,639,31430,0.000%,1.01777,0.15,0.14
Read API 50,50,13457,11688,24904,26673,30383,684,30383,0.000%,.98945,0.13,0.12
Write API 50,50,15599,15051,26640,28289,30327,1733,30327,0.000%,.62800,0.09,0.08
Quick API 10,10,904,751,1563,1563,1686,12,1686,0.000%,.97418,0.15,0.12
Compute API 10,10,1015,621,1510,1510,2068,578,2068,0.000%,.87313,0.13,0.12
Read API 10,10,819,592,1514,1514,1860,8,1860,0.000%,.78790,0.10,0.10
Write API 10,10,1769,1853,2406,2406,2443,912,2443,0.000%,.68762,0.10,0.09
TOTAL,1440,36560,21675,97690,114402,163221,8,177779,0.000%,2.54792,0.37,0.33
