Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Quick API 200,200,19,14,25,43,147,9,188,0.000%,20.08839,6.16,2.55
Compute API 200,200,28178,30007,30037,30290,60007,679,60009,79.000%,2.86041,0.95,0.39
Read API 200,200,8967,8895,12631,13076,30012,20,30019,4.500%,2.01511,0.57,0.25
Write API 200,200,39807,60004,60006,60007,60011,656,60015,65.000%,1.30508,0.32,0.16
Quick API 100,100,11,11,14,16,22,9,30,0.000%,10.09285,3.09,1.28
Compute API 100,100,23997,27008,30007,59753,60004,661,60004,41.000%,1.43715,0.45,0.20
Read API 100,100,30006,30006,30009,30009,30013,30004,30014,100.000%,1.01082,0.35,0.13
Write API 100,100,30007,30007,30010,30011,30013,30004,30023,100.000%,1.01082,0.35,0.13
Quick API 50,50,13,11,15,23,60,9,60,0.000%,5.09217,1.56,0.65
Compute API 50,50,11035,9854,20509,21585,25122,700,25122,0.000%,1.43217,0.43,0.20
Read API 50,50,30016,30006,30013,30045,30223,30005,30223,100.000%,.77859,0.27,0.10
Write API 50,50,30008,30006,30009,30013,30074,30004,30074,100.000%,.77862,0.27,0.10
Quick API 10,10,10,10,11,11,17,9,17,0.000%,1.10988,0.34,0.14
Compute API 10,10,568,558,571,571,655,553,655,0.000%,1.04745,0.32,0.14
Read API 10,10,30005,30005,30007,30007,30008,30004,30008,100.000%,.25709,0.09,0.03
Write API 10,10,30005,30006,30006,30006,30006,30004,30006,100.000%,.25709,0.09,0.03
TOTAL,1440,19414,17962,30074,60005,60007,9,60015,45.694%,3.21304,0.99,0.41
