Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Quick API 10,10,24,21,40,40,52,10,52,0.000%,.36980,0.11,0.05
Compute API 10,10,589,580,625,625,644,548,644,0.000%,.36279,0.11,0.05
Read API 10,10,17,12,22,22,44,10,44,0.000%,.37117,0.10,0.05
Write API 10,10,596,581,615,615,730,547,730,0.000%,.36434,0.11,0.05
Quick API 50,50,12,11,17,18,40,8,40,0.000%,1.70010,0.52,0.22
Compute API 50,50,1287,950,2571,2690,3006,729,3006,0.000%,1.54283,0.47,0.21
Read API 50,50,2061,955,5270,7041,11379,9,11379,0.000%,1.16120,0.33,0.15
Write API 50,50,3166,1641,7858,8966,11657,599,11657,0.000%,1.13474,0.33,0.14
Quick API 100,100,12,11,17,23,29,9,51,0.000%,3.36655,1.03,0.43
Compute API 100,100,17492,17316,30006,30009,41714,606,42365,12.000%,1.42054,0.44,0.19
Read API 100,100,13779,11603,30006,30007,40964,18,41558,9.000%,1.24350,0.36,0.16
Write API 100,100,18213,14624,42530,45098,46968,1038,47126,1.000%,.78418,0.23,0.10
Quick API 200,200,17,14,25,33,91,9,118,0.000%,6.69837,2.05,0.85
Compute API 200,200,29494,30007,60004,60006,60022,639,60127,76.500%,2.22633,0.72,0.30
Read API 200,200,16391,12399,30026,30198,60013,14,60042,23.000%,1.42043,0.41,0.18
Write API 200,200,40863,34368,60025,60036,60142,1287,60150,76.000%,1.17073,0.31,0.15
TOTAL,1440,15723,7858,41616,60010,60032,8,60150,25.903%,3.86359,1.15,0.50
