Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Quick API 10,10,13,13,19,19,23,9,23,0.000%,.37019,0.11,0.05
Compute API 10,10,573,570,592,592,599,548,599,0.000%,.36241,0.11,0.05
Read API 10,10,8,8,9,9,9,8,9,0.000%,.37011,0.10,0.05
Write API 10,10,611,605,631,631,637,591,637,0.000%,.36170,0.11,0.05
Quick API 50,50,4798,3816,11153,12354,13547,8,13547,0.000%,1.44559,0.44,0.18
Compute API 50,50,5446,4489,11489,12952,14386,542,14386,0.000%,1.02112,0.31,0.14
Read API 50,50,6132,5039,12958,13719,17073,8,17073,0.000%,.96669,0.27,0.12
Write API 50,50,6982,5640,13774,15645,17610,658,17610,0.000%,.78620,0.23,0.10
Quick API 100,100,9230,7403,19331,20830,22013,9,22314,0.000%,2.95517,0.91,0.38
Compute API 100,100,23729,15942,60004,60005,60005,576,60005,21.000%,1.06572,0.30,0.15
Read API 100,100,28706,22258,60004,60004,60005,10,60005,22.000%,.86564,0.23,0.11
Write API 100,100,33905,24685,60004,60004,60005,830,60006,31.000%,.57161,0.15,0.07
Quick API 200,200,16532,14877,30010,30010,30011,221,30012,32.000%,3.34119,1.08,0.42
Compute API 200,200,38445,30005,60025,60026,60031,641,60032,73.500%,2.87315,0.80,0.39
Read API 200,200,37824,30051,60004,60004,60005,30004,60007,100.000%,2.02071,0.63,0.25
Write API 200,200,30309,30007,30018,30022,30063,30003,60006,100.000%,2.03271,0.72,0.26
TOTAL,1440,24555,28287,60004,60009,60026,8,60032,47.569%,3.28127,1.00,0.42
