Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Quick API 200,200,6455,4356,8257,30014,60028,28,60057,6.000%,2.87047,0.88,0.36
Compute API 200,200,41821,60010,60022,60026,60030,684,60035,68.000%,2.00632,0.50,0.27
Read API 200,200,35889,30093,60005,60007,60012,164,60021,100.000%,1.55018,0.51,0.19
Write API 200,200,31408,30045,30110,60009,60021,8469,60023,100.000%,1.25880,0.44,0.16
Quick API 100,100,30085,30080,30389,30438,30533,28923,30534,86.000%,2.57599,0.89,0.33
Compute API 100,100,29751,30004,59397,60014,60017,9195,60018,49.000%,1.45736,0.46,0.20
Read API 100,100,35546,29945,58336,60004,60006,5947,60009,100.000%,1.52861,0.80,0.19
Write API 100,100,4523,694,9259,9262,9860,389,30007,100.000%,3.22155,1.81,0.41
Quick API 50,50,4630,2316,14131,14532,15125,7,15125,0.000%,2.17912,0.67,0.28
Compute API 50,50,5515,4284,12145,13416,15165,590,15165,0.000%,1.68356,0.51,0.23
Read API 50,50,5054,3854,11745,12887,14598,11,14598,100.000%,1.70474,0.96,0.21
Write API 50,50,5163,6760,6991,10439,15165,66,15165,100.000%,1.70016,0.95,0.21
Quick API 10,10,11,10,13,13,15,9,15,0.000%,1.11012,0.34,0.14
Compute API 10,10,602,602,624,624,659,550,659,0.000%,1.04734,0.32,0.14
Read API 10,10,11,11,13,13,14,10,14,100.000%,1.12347,0.63,0.14
Write API 10,10,10,10,12,12,13,9,13,100.000%,1.12385,0.63,0.14
TOTAL,1440,23701,30004,60008,60017,60025,7,60057,69.653%,4.72691,1.72,0.61
